user,completed,rating,status,pattern_id,average_rating,rating_count,attributes,categories
Hibousche,50,57,57,57,57,56,57,57
HiddenTohru,70,81,81,81,81,81,81,81
Higganzo,0,1,1,1,1,1,1,1
Hilandoelhilo,7,10,10,10,10,10,10,10
Hinakyo,35,38,38,38,38,31,38,38
Hincmariana,1,2,2,2,2,1,2,2
HiyaAkire,1,1,1,1,1,1,1,1
HknitsandStuff,2,2,2,2,2,2,2,2
HobbitWife,207,224,224,224,224,193,224,224
HolyKnittedSocks,1,5,5,5,5,5,5,5
Hongotar,2,5,5,5,5,5,5,5
HoofPrintKnits,75,84,84,84,84,68,84,84
Hrekkur,9,11,11,11,11,11,11,11
Huffzu,2,3,3,3,3,3,3,3
HurricaneWoodelf,1,4,4,4,4,4,4,4
IDanceWithWools,28,28,28,28,28,28,28,28
ILOVEEWE,29,47,47,47,47,42,47,47
ISpindrift,4,4,4,4,4,4,4,4
Ignisaurarigo,1,2,2,2,2,2,2,2
Ihanive,258,258,258,258,258,237,258,258
Iipuska,3,3,3,3,3,3,3,3
ImmoralFiber,11,12,12,12,12,9,12,12
ImpPrincess,0,1,1,1,1,1,1,1
InTheMoss,11,11,11,11,11,11,11,11
Indianne,7,8,8,8,8,6,8,8
Inekedl,16,16,16,16,16,16,16,16
Insomnolepsy,9,14,14,14,14,14,14,14
Intangles,66,75,75,75,75,75,75,75
Inthisdayandrach,5,14,14,14,14,13,14,14
IntrovertCrafter,15,15,15,15,15,14,15,15
Inukshuk71,75,84,84,84,84,80,84,84
Ireadfluff,0,2,2,2,2,2,2,2
Irene444,4,4,4,4,4,4,4,4
Irina-MadamJiglau,1,1,1,1,1,1,1,1
IrisThePirate,3,4,3,4,4,4,4,4
Irishsage,1,2,2,2,2,2,2,2
Iry,1,1,1,1,1,1,1,1
Ishtar05,1,3,3,3,3,3,3,3
IslanderM,2,4,4,4,4,3,4,4
Isonel,66,71,71,71,71,68,71,71
Ispaugh,7,7,7,7,7,6,7,7
Isssabellla,7,7,7,7,7,5,7,7
Istitch4babies,1,2,2,2,2,2,2,2
Istumar,3,4,4,4,4,4,4,4
IvahEh,1,1,1,1,1,1,1,1
Ivanknit,19,22,22,22,22,20,22,22
IzzyPL,36,43,43,43,43,40,43,43
Izzybel40,30,30,30,30,30,23,30,30
JCHartnell,0,1,1,1,1,1,1,1
JEDIFRANCES74,2,10,10,10,10,9,10,10
JGreen87,5,5,5,5,5,4,5,5
JJanKnits,260,272,272,272,272,272,272,272
JJulie,1,1,1,1,1,1,1,1
JKilbride,0,3,3,3,3,3,3,3
JKnits51,3,3,3,3,3,3,3,3
JMPTONK,17,27,27,27,27,27,27,27
JSkats5,1,1,1,1,1,1,1,1
JacalynJ,4,5,5,5,5,5,5,5
Jacarver27,2,3,3,3,3,2,3,3
Jacky97,0,1,1,1,1,1,1,1
JacquelineCieslak,17,20,20,20,20,19,20,20
JaimeM,11,12,12,12,12,12,12,12
Jallenknittinginc,0,1,1,1,1,1,1,1
James,8,8,8,8,8,8,8,8
Jamisyn,19,28,28,28,28,20,28,28
Janeeamon,0,1,1,1,1,1,1,1
Janjor,0,1,0,1,1,1,1,1
Jarka123,11,19,19,19,19,18,19,19
JavasMom,31,39,39,39,39,35,39,39
Jay999,3,4,4,4,4,4,4,4
JayG1013,1,1,1,1,1,1,1,1
Jaybean,244,346,345,346,346,343,346,346
Jayhawkgirl,4,5,5,5,5,5,5,5
JaymieT,2,2,2,2,2,1,2,2
JazzHandzYarn,43,48,48,48,48,47,48,48
Jboo39,2,2,2,2,2,2,2,2
Jeannisabelle,1,1,1,1,1,1,1,1
JediGirl211,3,3,3,3,3,3,3,3
Jen456,21,22,22,22,22,22,22,22
Jen60540,3,8,8,8,8,7,8,8
JenFurst,2,2,2,2,2,2,2,2
Jeneric,97,115,115,115,115,115,115,115
JennCiri,2,2,2,2,2,2,2,2
Jenniedootson,2,3,3,3,3,3,3,3
Jennifer4858,1,2,2,2,2,2,2,2
Jennsaintp,1,2,2,2,2,2,2,2
Jerseybear,43,61,61,61,61,61,61,61
Jerseyshorelady,15,17,17,17,17,16,17,17
JessGaj,6,8,8,8,8,8,8,8
Jessie43,4,4,4,4,4,2,4,4
Jessysbookends,0,1,1,1,1,1,1,1
Jethro76,24,29,29,29,29,22,29,29
Jetricotetout,1,1,1,1,1,1,1,1
Jfuhrman,18,19,19,19,19,19,19,19
Jhoogeboom,11,12,12,12,12,11,12,12
JillBarr,15,15,15,15,15,13,15,15
JillieStock,2,3,3,3,3,3,3,3
Jillikins,12,14,14,14,14,14,14,14
Jillybeany99,14,15,15,15,15,15,15,15
Jkraska,2,5,5,5,5,5,5,5
Jlgrand88,1,1,1,1,1,1,1,1
JmeLynRose,2,3,3,3,3,3,3,3
Jng15,16,16,16,16,16,16,16,16
JoSchlieve,91,123,123,123,123,123,123,123
Jocejm,2,2,2,2,2,2,2,2
JodyDS,4,4,4,4,4,4,4,4
JodyDelaCruz,7,14,14,14,14,14,14,14
Joe201812,1,1,1,1,1,1,1,1
JohannaJosefsson,23,28,28,28,28,25,28,28
JolienKeane,1,1,1,1,1,1,1,1
Jominx,57,71,71,71,71,70,71,71
JosefineSmith,6,9,9,9,9,7,9,9
JosephineAileen,2,3,3,3,3,3,3,3
JoyDJoy,0,1,1,1,1,1,1,1
JoyInCrochet,1,1,1,1,1,1,1,1
Jtarr24,7,8,8,8,8,8,8,8
Jtok,1,1,1,1,1,1,1,1
Judyzaun,1,1,1,1,1,1,1,1
Jules32,27,28,28,28,28,22,28,28
Juliagh,0,1,0,1,1,1,1,1
JulieB52,2,2,2,2,2,2,2,2
JulieH49,33,34,34,34,34,32,34,34
JuliePoppins000,32,36,36,36,36,33,36,36
JulieUNH,0,1,0,1,1,1,1,1
Jumpsuit,17,21,21,21,21,21,21,21
JuneKelly,0,1,1,1,1,1,1,1
Jurassica,10,10,10,10,10,10,10,10
JuvelJones,48,55,55,55,55,39,55,55
Juvysen,49,51,51,51,51,51,51,51
K-Rae,142,158,158,158,158,146,158,158
K8Craft,195,200,200,200,200,196,200,200
KCCknitntiggy,43,62,61,62,62,61,62,62
KDMNSF,15,19,19,19,19,18,19,19
KGlover,177,193,193,193,193,189,193,193
KYKK,31,31,31,31,31,31,31,31
Kaburyu,1,1,1,1,1,1,1,1
Kadikettu,15,29,29,29,29,28,29,29
Kaffeehausoma,7,7,7,7,7,7,7,7
Kaikku,2,2,2,2,2,2,2,2
Kaiyuga,12,13,13,13,13,12,13,13
Kalarigabi,1,1,1,1,1,0,1,1
KaliEyad,1,5,5,5,5,4,5,5
Kalidas,5,7,7,7,7,7,7,7
Kaliki,35,46,46,46,46,44,46,46
Kamala,17,17,17,17,17,17,17,17
Kanelikettu,13,19,19,19,19,18,19,19
Kanervainen,3,4,4,4,4,4,4,4
Kanino,1,1,1,1,1,1,1,1
Kaotically,2,2,2,2,2,2,2,2
Kaplia,47,49,49,49,49,42,49,49
KapteinensFru,2,2,2,2,2,2,2,2
Karambolage,68,68,68,68,68,66,68,68
KasperAnn,4,5,5,5,5,5,5,5
Kat43082,0,2,2,2,2,2,2,2
Kate101,9,9,9,9,9,8,9,9
KateDJ,4,11,11,11,11,11,11,11
KateOS3,1,1,1,1,1,0,1,1
Katewrose,2,4,4,4,4,4,4,4
Kathi1984,3,3,3,3,3,3,3,3
Kathinkka,22,28,28,28,28,28,28,28
Kathleen317,1,1,1,1,1,1,1,1
KathleenElizaS,2,4,4,4,4,1,4,4
Kathofel,7,16,16,16,16,16,16,16
Kathy2kan,4,4,4,4,4,4,4,4
Katie1992,2,3,3,3,3,2,3,3
Katiestripeyknit,1,1,1,1,1,1,1,1
Katiete25,1,1,1,1,1,1,1,1
Katking85,22,27,27,27,27,27,27,27
Katrimia,26,28,28,28,28,27,28,28
Katsuragi,1,1,1,1,1,1,1,1
Kattori,3,7,7,7,7,7,7,7
Kattyrin,1,1,1,1,1,1,1,1
Katu,2,5,5,5,5,5,5,5
Katyjo1979,1,2,2,2,2,2,2,2
KayMierz,1,2,2,2,2,2,2,2
Kayah,2,3,3,3,3,3,3,3
KayellWY,37,37,37,37,37,34,37,37
KayleyMayer,1,1,1,1,1,1,1,1
Kbel78,18,22,22,22,22,20,22,22
Kbernabei,3,17,17,17,17,16,17,17
Keantha,19,21,21,21,21,20,21,21
KearaW,4,6,6,6,6,5,6,6
Kefira,45,68,67,68,68,61,68,68
Keiko8,2,2,2,2,2,2,2,2
KellyOinMoscow,85,90,90,90,90,86,90,90
KelseyLou159,1,1,1,1,1,1,1,1
KendraSveum,0,3,3,3,3,3,3,3
Kfelt28,1,2,2,2,2,2,2,2
Kgibson0164,1,1,1,1,1,1,1,1
Khalypso,4,8,8,8,8,8,8,8
KhristinaO,3,3,3,3,3,3,3,3
Kiirs,18,18,18,18,18,18,18,18
KiittyCatt,110,114,114,114,114,112,114,114
KimPnPVB,121,127,127,127,127,120,127,127
Kimberly3706,309,344,344,344,344,316,344,344
Kimberlymarrs,1,1,1,1,1,1,1,1
Kimberm71,1,1,1,1,1,1,1,1
Kimw2809,0,1,1,1,1,1,1,1
Kinou1,1,1,1,1,1,1,1,1
Kipipsso,288,296,296,296,296,264,296,296
Kirsikkainen,0,2,1,2,2,0,2,2
Kirstie-mania,1,1,1,1,1,1,1,1
Kirsty1234,154,159,159,159,159,153,159,159
Kissvanou10,16,18,18,18,18,16,18,18
KitWickliff,0,1,1,1,1,1,1,1
Kitsufox,1,1,1,1,1,1,1,1
Kitty1980plus,2,2,2,2,2,2,2,2
Kladeaney,123,123,123,123,123,122,123,123
KnanKnits,0,1,0,1,1,1,1,1
Knarly,1,1,1,1,1,1,1,1
Kneuro,3,9,9,9,9,9,9,9
Knit4Apples,28,29,29,29,29,27,29,29
KnitAndLive,1,1,1,1,1,1,1,1
KnitKnitMommy,2,4,4,4,4,4,4,4
KnitLouLouKnit,2,2,2,2,2,2,2,2
KnitMoron,70,77,77,77,77,75,77,77
KnitSnail,2,4,4,4,4,4,4,4
KnitToUnwind,2,2,2,2,2,2,2,2
KnitWhitWill,2,7,7,7,7,7,7,7
KnitWittttt,1,1,0,1,1,0,1,1
Knitandmore,176,183,183,183,183,168,183,183
KnitforNippers,3,3,3,3,3,3,3,3
Knitforfun101,47,49,49,49,49,42,49,49
Knitmonk,1,1,1,1,1,1,1,1
KnittedPerfection,2,3,3,3,3,3,3,3
Knitter2655,0,2,2,2,2,2,2,2
KnitterCyn,15,16,16,16,16,16,16,16
Knitterless,7,7,7,7,7,7,7,7
Knittiak,180,277,277,277,277,267,277,277
KnittinKristen,2,2,2,2,2,1,2,2
KnittingAmyK,437,451,451,451,451,421,451,451
KnittingDakini,29,30,30,30,30,30,30,30
KnittingLionGE,4,4,4,4,4,4,4,4
KnittingMoonYogi,3,14,14,14,14,13,14,14
KnittingMrsBack,62,71,71,71,71,69,71,71
KnittingPoppyToo,136,148,148,148,148,138,148,148
KnittingScotsman,18,21,21,21,21,21,21,21
KnittingWithErik,1,1,1,1,1,0,1,1
Knittingwater,50,52,52,52,52,50,52,52
Knitty-Gritty83,3,3,3,3,3,3,3,3
KnittyPurl,5,9,9,9,9,9,9,9
Knitvanna,0,1,1,1,1,1,1,1
KnitzZzs,19,20,20,20,20,17,20,20
Knitzpah,51,63,63,63,63,54,63,63
KnotKnotMona,23,33,33,33,33,32,33,33
KnotReenie,4,4,4,4,4,4,4,4
Kodazer,3,3,3,3,3,3,3,3
Kolumba125,61,73,73,73,73,73,73,73
KosyKitchenFibres,2,3,3,3,3,3,3,3
Kpod,1,2,2,2,2,2,2,2
Kraehi,1,2,2,2,2,2,2,2
Kraphtee,2,3,3,3,3,3,3,3
Krazaykris,3,4,4,4,4,4,4,4
Kringlan,2,3,3,3,3,3,3,3
Krisis,13,13,13,13,13,13,13,13
Krisjax08,4,10,10,10,10,10,10,10
Krissynva,0,1,1,1,1,1,1,1
KristinKing90,2,2,2,2,2,1,2,2
Kristina91,1,2,2,2,2,2,2,2
Kristinamarina,19,23,23,23,23,23,23,23
Kronos,14,17,17,17,17,16,17,17
KrysaMae,76,87,87,87,87,87,87,87
Ksiope,0,2,2,2,2,2,2,2
KtMcNoda,1,1,1,1,1,1,1,1
Kueenkee,0,1,1,1,1,1,1,1
Kuinsi,1,2,2,2,2,2,2,2
Kvphoto,3,7,7,7,7,7,7,7
LJE,0,5,5,5,5,5,5,5
LKSBlog,2,2,2,2,2,2,2,2
LMHoaglund,30,42,42,42,42,40,42,42
LMPLibn,1,1,1,1,1,0,1,1
LWillis,1,2,1,2,2,2,2,2
LaTitePuce,2,2,2,2,2,2,2,2
LaToga,7,8,8,8,8,7,8,8
LaValerieTricote,19,29,29,29,29,26,29,29
Lacarina,35,45,45,45,45,44,45,45
Lacelegance,3,53,53,53,53,18,53,53
Lacrossechris1,2,3,3,3,3,2,3,3
LadyAinsley,20,29,29,29,29,25,29,29
LadyRamelade,137,149,149,149,149,129,149,149
LadyRay,0,2,2,2,2,2,2,2
Ladybugmarie,94,97,97,97,97,97,97,97
Ladygoshawk,6,7,7,7,7,7,7,7
Laina53,4,10,10,10,10,10,10,10
LambShoppe,2,4,4,4,4,4,4,4
Lamiabella,4,5,5,5,5,5,5,5
Lampris,8,9,9,9,9,9,9,9
Landfrau74,8,9,9,9,9,9,9,9
Langan,37,49,49,49,49,49,49,49
Lanninett,167,179,179,179,179,147,179,179
Larabranko,0,1,1,1,1,1,1,1
Lasiriyea,3,8,8,8,8,8,8,8
Laubi,3,17,17,17,17,15,17,17
Laur5357,4,5,5,5,5,5,5,5
LauraDK,11,16,16,16,16,16,16,16
LauraPearce,1,11,11,11,11,11,11,11
LauraineSch,4,9,9,9,9,9,9,9
Laurelie,76,79,79,79,79,76,79,79
Lazulus,13,15,15,15,15,14,15,15
Leafyberry,16,19,19,19,19,19,19,19
LeanneMarieK1,51,52,52,52,52,52,52,52
Leenane,37,37,37,37,37,25,37,37
LeftyLeah,19,22,22,22,22,21,22,22
Leigh33ca,4,4,4,4,4,4,4,4
Leinsterhooker,1,1,1,1,1,1,1,1
LeleB,17,17,17,17,17,17,17,17
LeliaEvelyn,1,1,1,1,1,1,1,1
Lenochka,17,20,20,20,20,19,20,20
LesleyBlacklaws,5,5,5,5,5,4,5,5
Levifdor,7,8,8,8,8,8,8,8
Lholm33,8,8,8,8,8,8,8,8
LieseDenise,21,24,24,24,24,22,24,24
Liftingmomma,78,85,85,85,85,82,85,85
Lillejane,0,2,2,2,2,2,2,2
Lillysim,0,3,3,3,3,3,3,3
Lily90n34p3,0,1,1,1,1,1,1,1
LindaGK,9,9,9,9,9,9,9,9
LindaGeezer,1,1,1,1,1,1,1,1
LindaLuvs2Knit,24,30,30,30,30,30,30,30
Lindapetaluma,2,3,3,3,3,3,3,3
LindianaJane,20,20,20,20,20,16,20,20
Linzknits,79,105,105,105,105,103,105,105
LisaPishney,1,1,1,1,1,1,1,1
Lisbetcrone,1,1,1,1,1,1,1,1
LisetteM,24,36,36,36,36,33,36,36
Lisianne,41,45,45,45,45,42,45,45
Literaturschaf,109,121,121,121,121,118,121,121
Lithmire,4,6,6,6,6,5,6,6
LivLife1,4,4,4,4,4,4,4,4
Liven0,0,1,1,1,1,1,1,1
LivinEasyYoga,1,1,1,1,1,1,1,1
Lizziemakes,11,15,14,15,15,15,15,15
Lizziepurls,3,3,3,3,3,3,3,3
LoisZuger,2,2,2,2,2,2,2,2
LoneLi,1,1,1,1,1,0,1,1
Longtail,3,3,3,3,3,3,3,3
LoriMassey,41,52,51,52,52,45,52,52
LorkowskiS,4,13,13,13,13,13,13,13
Lorraine2880,1,1,1,1,1,1,1,1
Lotje72,0,3,3,3,3,2,3,3
LouiseKnitsToo,5,6,6,6,6,6,6,6
LouisesLounge,0,1,1,1,1,1,1,1
Louiseulf,219,219,219,219,219,203,219,219
Louisiella,0,1,1,1,1,1,1,1
Loulounoux,28,29,29,29,29,28,29,29
Loupine,33,38,38,38,38,38,38,38
Lourenreed,1,1,1,1,1,1,1,1
LovedayC,0,4,4,4,4,4,4,4
Lovedless,7,8,8,8,8,8,8,8
LovelyStitched09,6,6,6,6,6,6,6,6
LoverofGoodYarns,20,32,32,32,32,31,32,32
LovingMyLittles,1,14,14,14,14,14,14,14
Lowbudget,12,19,19,19,19,19,19,19
Loztron,2,3,3,3,3,3,3,3
Luckyhipo,0,1,1,1,1,1,1,1
LucyLovett,2,2,2,2,2,2,2,2
Luise13,13,14,13,14,14,13,14,14
Lumpumpel,1,1,1,1,1,0,1,1
Luz-de-Luna,94,96,96,96,96,94,96,96
Lwochner,2,2,2,2,2,2,2,2
Lydhavet,1,1,1,1,1,1,1,1
Lynda2641,1,1,1,1,1,1,1,1
Lyndieloop,33,33,33,33,33,33,33,33
LynnInColorado,1,1,1,1,1,1,1,1
Lynnor,29,31,31,31,31,31,31,31
Lynza,1,1,1,1,1,1,1,1
Lysande,47,50,50,50,50,49,50,50
Lysberen,25,29,29,29,29,29,29,29
Lyudmillaa,0,1,1,1,1,1,1,1
Lzza,2,6,6,6,6,6,6,6
MBK05,0,1,1,1,1,1,1,1
MMichelleM,42,54,54,54,54,53,54,54
MOP,16,29,29,29,29,27,29,29
MWright3,2,3,3,3,3,3,3,3
MaMi88,8,9,9,9,9,9,9,9
MabelH,0,1,1,1,1,1,1,1
MacBatt,6,9,9,9,9,9,9,9
Mad-as-a-knitter,160,166,166,166,166,154,166,166
Madabout,1,1,1,1,1,1,1,1
Madame,0,2,2,2,2,2,2,2
MadameAnneSo,15,21,21,21,21,21,21,21
MadelynSasha,25,34,34,34,34,33,34,34
Madigan-,10,12,12,12,12,12,12,12
MaeSoren,22,33,33,33,33,32,33,33
MaemiK,0,1,1,1,1,1,1,1
Maggany,1,2,2,2,2,2,2,2
MaggieClarkeNS,1,1,1,1,1,1,1,1
MaggieSmash,70,71,71,71,71,70,71,71
Mahreeortiz,0,1,1,1,1,1,1,1
Maimaedchen,10,10,10,10,10,10,10,10
Majabrandstrup,4,9,9,9,9,8,9,9
MakiHonda,1,1,1,1,1,1,1,1
Makiruz,52,53,53,53,53,41,53,53
Malakaiii,155,161,161,161,161,159,161,161
Malgosia123,0,1,1,1,1,1,1,1
MallowMinion,9,14,14,14,14,14,14,14
MamaLogan,1,1,1,1,1,1,1,1
Mamaduca,0,1,1,1,1,1,1,1
Mamalion10,1,1,1,1,1,1,1,1
MammaHenErin,0,2,2,2,2,2,2,2
MammaLin,0,4,4,4,4,4,4,4
MammaMaud,67,81,81,81,81,70,81,81
Mandaboo01,7,8,8,8,8,8,8,8
Maniae,4,5,5,5,5,5,5,5
ManicSpider,0,2,2,2,2,2,2,2
Manise,113,161,161,161,161,154,161,161
Mao-chan,1,1,1,1,1,1,1,1
Mapetitedani,1,1,1,1,1,1,1,1
MarciaViola,572,601,601,601,601,595,601,601
Marcsgirl,34,34,34,34,34,34,34,34
Mardig,33,38,38,38,38,35,38,38
Marga2210,12,13,13,13,13,11,13,13
MargaretEU,3,3,3,3,3,2,3,3
Mariahleighhh,2,2,2,2,2,2,2,2
Mariajosermz,1,7,7,7,7,7,7,7
Marianne9,182,182,182,182,182,179,182,182
MarieMay,23,39,39,39,39,38,39,39
Marieaunet,1,2,2,2,2,2,2,2
MarileeRD,150,151,151,151,151,121,151,151
MarilisaTotomi,4,4,4,4,4,4,4,4
Marillu,24,26,26,26,26,24,26,26
MarilynCsm,3,3,3,3,3,3,3,3
MarionRamirez,1,4,4,4,4,4,4,4
Mariposita69,0,1,1,1,1,1,1,1
Mariprx,2,3,3,3,3,1,3,3
MarisolGarcia,39,45,45,45,45,44,45,45
Maritacb,130,139,139,139,139,129,139,139
Marjie2,2,2,2,2,2,2,2,2
MarliesKdG,3,3,3,3,3,2,3,3
MaryEtta,9,13,13,13,13,13,13,13
Maschenmonster,8,10,10,10,10,9,10,10
MasterPurl,2,2,2,2,2,2,2,2
Mathematikel,32,32,32,32,32,32,32,32
Matilda444,56,56,56,56,56,54,56,56
Matkakatka,2,2,2,2,2,2,2,2
Matsu-kzy,33,35,35,35,35,18,35,35
MattyP,4,8,8,8,8,8,8,8
Matzienne,26,30,30,30,30,28,30,30
MaudeFlanderz,3,8,8,8,8,8,8,8
MaureenHDG,2,3,3,3,3,3,3,3
Maya1004,1,1,1,1,1,1,1,1
McBoyd,2,3,3,3,3,3,3,3
McKnitty,99,122,122,122,122,117,122,122
Mcknitwit2,2,2,2,2,2,2,2,2
Mckrio,1,1,1,1,1,1,1,1
Mcpatschyohandz,2,2,2,2,2,2,2,2
MeMeUU,1,1,1,1,1,1,1,1
MegaRedd,10,12,12,12,12,12,12,12
MeganMaryB,1,1,1,1,1,1,1,1
MelTKnit,1,1,1,1,1,1,1,1
Melanie-Jane,2,2,2,2,2,2,2,2
MeldiKnits,1,5,5,5,5,5,5,5
Melephant,0,2,2,2,2,2,2,2
Melissavincent,5,5,5,5,5,5,5,5
Mellyanne,2,2,2,2,2,2,2,2
Melodydeanne,3,3,3,3,3,2,3,3
Mepaton,1,1,1,1,1,1,1,1
MeredithStitches,3,6,6,6,6,6,6,6
Merrygirl21078,2,2,2,2,2,2,2,2
MichKDrosdik,4,8,8,8,8,8,8,8
MikeyJ,8,13,13,13,13,13,13,13
MikiStitch,0,2,2,2,2,2,2,2
Millastrik,3,10,9,10,10,10,10,10
MillerMort,2,6,5,6,6,6,6,6
Millerk80,2,3,3,3,3,3,3,3
MillisDolly,65,76,76,76,76,70,76,76
Mimiknitsalot,1,1,1,1,1,1,1,1
Mimizukuknits,62,64,64,64,64,63,64,64
Mindle,1,3,3,3,3,3,3,3
Miragan,7,7,7,7,7,7,7,7
Miranada93,0,1,1,1,1,1,1,1
MischiefGrafter,2,2,2,2,2,2,2,2
Mischlucky,2,2,2,2,2,1,2,2
MissAllaby,7,8,8,8,8,8,8,8
MissChristine,177,177,177,177,177,176,177,177
MissKlara,4,21,21,21,21,21,21,21
MissKnitSea,36,49,49,49,49,45,49,49
MissMelis,0,1,1,1,1,1,1,1
MissMeshow,2,6,6,6,6,6,6,6
MissMysticia,14,14,14,14,14,12,14,14
Misteegabel,0,1,1,1,1,1,1,1
Mitymint,4,6,6,6,6,6,6,6
MizzEnroe,91,99,99,99,99,94,99,99
Mkatej,1,1,1,1,1,1,1,1
Mmeflutterby,0,1,1,1,1,1,1,1
Moehrlecat,0,2,2,2,2,2,2,2
Moelst,1,1,1,1,1,1,1,1
Moffel,3,3,3,3,3,3,3,3
Molaturtle,1,1,1,1,1,0,1,1
MollyWS,6,8,8,8,8,7,8,8
Mollyhh,2,2,2,2,2,2,2,2
Mollypuetz,6,8,8,8,8,8,8,8
Mollywobblesxox,1,1,1,1,1,1,1,1
Mom2NSC,13,19,19,19,19,19,19,19
Mom2O,70,70,70,70,70,70,70,70
Momika21,149,157,157,157,157,151,157,157
MommaGrace,0,1,1,1,1,1,1,1
Mommatowrenbird,1,2,2,2,2,1,2,2
MommyGetz,25,81,81,81,81,79,81,81
MonikaKK,1,1,1,1,1,1,1,1
Moniquecole,3,3,3,3,3,3,3,3
MonkeyShineTricks,0,1,1,1,1,1,1,1
Monoyum,20,21,21,21,21,21,21,21
Mootie18,4,6,6,6,6,6,6,6
MorbidCorbin,0,1,1,1,1,1,1,1
MorganaFiolett,10,10,10,10,10,10,10,10
Morganasab,39,45,45,45,45,44,45,45
MrKnitterton,1,1,1,1,1,1,1,1
Mrs21,3,3,3,3,3,3,3,3
MrsBigC,12,12,12,12,12,10,12,12
MrsOp,0,1,1,1,1,1,1,1
MrsPepperpot,6,11,11,11,11,11,11,11
MrsTberry,10,20,20,20,20,18,20,20
MrsTrish,0,3,3,3,3,3,3,3
MsJaanaMarianne,1,1,1,1,1,1,1,1
MsolE,0,1,1,1,1,1,1,1
Mthompson2013,0,1,1,1,1,1,1,1
Mugglestudies,0,2,2,2,2,2,2,2
Mummatroll,18,24,24,24,24,24,24,24
MurrayMakesStuff,9,18,18,18,18,18,18,18
Murrison,3,3,3,3,3,3,3,3
Murvie,57,75,74,75,75,65,75,75
Muse93,1,1,1,1,1,1,1,1
MustBeMorning,1,1,1,1,1,1,1,1
Mustangbex,10,13,13,13,13,13,13,13
Mveyon,2,2,2,2,2,2,2,2
Mwezzi,1,1,1,1,1,1,1,1
MyDailyFiber,237,240,240,240,240,235,240,240
MyKnitsBln,8,21,21,21,21,19,21,21
Myself65,1,1,1,1,1,1,1,1
NCzippy,0,3,3,3,3,3,3,3
NI-KO,18,20,20,20,20,19,20,20
NWForaged,8,10,10,10,10,9,10,10
Naava,45,54,53,54,54,50,54,54
NadiLeh,72,72,72,72,72,70,72,72
Nadia113,0,1,1,1,1,1,1,1
Nadie,9,10,10,10,10,10,10,10
Naelleuh,1,7,7,7,7,7,7,7
NagathaChristie,31,46,46,46,46,44,46,46
NanasKnits2009,3,5,5,5,5,5,5,5
Nanc1013,17,17,17,17,17,17,17,17
NancyBAD,1,1,1,1,1,1,1,1
NancyBallard,0,1,1,1,1,1,1,1
NandersKnits,13,19,19,19,19,19,19,19
NanniD,12,13,13,13,13,13,13,13
NaomiHawes,71,77,77,77,77,76,77,77
NaomiJ,0,1,1,1,1,1,1,1
NastyaKolya,18,20,20,20,20,20,20,20
NatGo,2,4,4,4,4,4,4,4
Natali1006,0,1,1,1,1,1,1,1
NataliaF,25,27,27,27,27,19,27,27
NatalieJS,0,9,9,9,9,9,9,9
NatalieJSP,2,2,2,2,2,2,2,2
Nath38112,3,3,3,3,3,2,3,3
NathalieOshea,0,1,1,1,1,1,1,1
NattieRat,1,6,6,6,6,6,6,6
Ndow29,1,4,4,4,4,4,4,4
Nectaryne,41,43,43,43,43,42,43,43
NeedToMakeThis,2,2,2,2,2,2,2,2
Needlefingers,204,217,217,217,217,204,217,217
Neicee,4,4,4,4,4,4,4,4
Neotenyknitting,4,5,5,5,5,5,5,5
Nerrisse,7,9,9,9,9,9,9,9
NetzachHodge,0,1,1,1,1,1,1,1
Nevyrmore,4,10,10,10,10,10,10,10
NewYorkBuilt,4,5,5,5,5,5,5,5
Newfieangel,2,2,2,2,2,1,2,2
Nichole1027,2,5,5,5,5,5,5,5
NickiCarmen,8,10,10,10,10,10,10,10
Nickipel,1,1,1,1,1,1,1,1
Nicneven,7,8,8,8,8,8,8,8
Nicole789,1,1,1,1,1,1,1,1
Nihe1967,6,8,8,8,8,8,8,8
Nikilyn81,2,3,3,3,3,3,3,3
NikkiR-D,4,5,5,5,5,5,5,5
Nimska,2,2,2,2,2,2,2,2
Nina611,4,5,5,5,5,5,5,5
Nissan,2,3,3,3,3,3,3,3
Nocnoz,9,12,12,12,12,11,12,12
Noonles,9,27,27,27,27,27,27,27
NoraBiron,21,21,21,21,21,21,21,21
NordKnits,115,138,138,138,138,132,138,138
NorthSeaKnitter,131,143,143,143,143,140,143,143
NorthernMedGirl,8,20,20,20,20,20,20,20
Notagiftedknitter,15,21,20,21,21,20,21,21
Novelweaver,2,5,5,5,5,5,5,5
Npepperc,23,24,24,24,24,24,24,24
Nrapture,15,15,15,15,15,15,15,15
NurseMama,2,12,12,12,12,7,12,12
Nyvy,1,1,1,1,1,1,1,1
O-kaye,14,15,15,15,15,15,15,15
OJenny,208,209,209,209,209,206,209,209
OZante,4,4,4,4,4,4,4,4
ObiwanKnitter,32,35,34,35,35,35,35,35
Oblau,16,27,27,27,27,25,27,27
Obrigada,0,2,2,2,2,2,2,2
OccasionallyKnoty,5,6,6,6,6,5,6,6
OceanaLisa,0,1,1,1,1,1,1,1
Odile-Marti,1,1,1,1,1,0,1,1
OhAnotherJennifer,1,1,1,1,1,1,1,1
OhJoyyy,1,1,1,1,1,1,1,1
OhScarlett,0,1,1,1,1,0,1,1
OhSoHappyKnitter,8,11,11,11,11,10,11,11
Oikiat,7,7,7,7,7,7,7,7
